ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
1319,S90005,Small and Simple Projects Fund,1990,Thornton Creek No. 1 Reclamation,Thornton Creek Park No. 1 Ad Hoc Group,A greenbelt/natural area owned by the Parks Department will be cleared and made accessible so that it can be used for passive recreation by nearby neighbors.,1089,1124,,North
1318,S90004,Small and Simple Projects Fund,1990,Traffic Circle 3rd Ave W & W Howe St,Queen Anne Community Center Advisory Council,"A traffic circle will be designed and installed at the intersection of 3rd Ave W and W Howe, near the Queen Anne Recreation Center.  The circle should help slow traffic, making it safer for young children (and parents) to cross to get to the play area.",2900,3515,,Magnolia/QA
1317,S90003,Small and Simple Projects Fund,1990,Olympic View School Com Hall Improvement,Maple Leaf Community Council,"Acoustical tiles will be installed in the multi-purpose room/gymnasium at Olympic View Elementary school to improve noise reverberation problems.  Once corrected, the room can be used by community groups for evening meetings.",3593,4914,,North
1316,S90002,Small and Simple Projects Fund,1990,Rogers Playground Improvement,John Rogers Elementary PTSA,A dome shaped climber will be purchased and installed on the playground of John Rogers Elementary school.,2740,2755,,North
1315,S90001,Small and Simple Projects Fund,1990,Seattle Peace Park,Seattle Peace Park,"A piece of property owned by Seattle Transportation will be transformed into a ""pocket park""  in memory of the victims of the atomic bomb.  A statue of Sadako Sasaki, the Peace Child, will be installed at the site.",2810,3063,,Northeast
209,B9001,Large Projects Fund,1990,Whittier Playground Improvement,Whittier Elementary PTSA,Removed old playground equipment and installed new equipment.,21414,21414,,Ballard
1331,S90017,Small and Simple Projects Fund,1990,Police Mt. Bikes for Denny Regrade,Denny Regrade Business Association,Purchased and outfitted two mountain bikes for the Seattle Police Dept. West Precinct to augment the bike patrol.,1494,1500,,Downtown
263,B9056,Large Projects Fund,1990,West Seattle Senior Center Handicap Access Restroom,Sr Center of West Seattle,Constructed two-stall handicapped accessible rest rooms.,64115,65269,,Southwest
241,B9033,Large Projects Fund,1990,Bryant School Community Park,Bryant Elementary PTSA -Ravenna-Bryant Community Association,"Renovated playground at Bryant Elementary including: replacement  of asphalt  with grass; removal of unsafe climbing structure; relocation of basketball courts; and, construction of new play area.",44000,103200,,Northeast
244,B9036,Large Projects Fund,1990,Greenwood Community Street Tree Planting,Phinney Neighborhood Association,"Planting street trees, approximately 500 in Greenwood & Phinney Ridge community.",6750,14150,,Northwest
264,B9057,Large Projects Fund,1990,Community School Tutoring & Athletics,Seattle Public Schools,"Developed a community school tutoring/athletics program designed to bring caring citizens into the school to work directly with at-risk students, addressing social, academic, and cultural issues.",20884,25474,,Southwest
262,B9055,Large Projects Fund,1990,Training For Resident Management/Community Involvement,High Point Community Council,"Train residents in management of public housing.  Emphasize crime prevention, drug abuse, gang activity and poverty.",24000,24000,,Delridge
261,B9054,Large Projects Fund,1990,Lawn Care Start-Up,Seattle Housing Authority,Train and utilize community residents to do lawn care for disabled and senior residents of High Point.,4400,4400,,Delridge
258,B9051,Large Projects Fund,1990,Rainier Beach Learning Opportunity Center,South Seattle Crime Prevention Council,"Installed a computerized learning center in Rainier Beach High School.  Center will be used to strengthen academic achievement and graduation rates, recruit drop-outs and prepare them for taking the GED.",99120,120572,,Southeast
257,B9050,Large Projects Fund,1990,South Shore Academic Academy,Seattle Public Schools,Developed the South Shore Middle School Academic Academy.,26880,26880,,Southeast
256,B9049,Large Projects Fund,1990,"Powerful Schools, Beacons Neighborhood",Columbia City Neighbors Association,"Develop/implement grassroots plan for neighborhood & school collaboration to improve student performance; strengthen neighborhoods; serve as model for community school development that empowers neighbors, parents/students.  Four SE Seattle Elementary schools involved.",21100,19768,,Southeast
255,B9048,Large Projects Fund,1990,Rainier Community Center Needs Assessment,Mt. Baker Community Council/Rainier Community Center Advisory,Conduct a community survey to determine preferred uses for the new Rainier Community Center.,7200,3600,,Southeast
254,B9047,Large Projects Fund,1990,"Martin Luther King, Jr. Memorial",Martin L King Jr. Memorial Committee,"Constructed a memorial to Martin Luther King, Jr. to include installation of a sculpture, reflecting pool, waterworks, donor wall and paved walkways.",45000,90000,,Southeast
252,B9045,Large Projects Fund,1990,Graham Hill Community School,Seattle Public Schools,Started the  Graham Hill Community School to offer educational and recreational activities to residents of all ages; to purchase computer music instruction program and utilize this equipment for day and evening use.,49750,60700,,Southeast
251,B9044,Large Projects Fund,1990,Urban Neighborhood Garden,Columbia City Neighbors Association,Constructed an urban neighborhood garden and nursery for use as a curriculum aid by the school and as a learning center for the community.,15991,29222,,Southeast
250,B9043,Large Projects Fund,1990,Queen Anne Asian Scholars Garden,Coe Elementary School PTSA,"Developed an Asian Scholars Garden dedicated to Coe Elementary School's sister school in Chongqing, China.",9372,10443,,Magnolia/QA
249,B9042,Large Projects Fund,1990,Queen Anne Urban Wildlife Habitat at Hay,John Hay Elementary PTSA,"Using native NW plants, established an urban wildlife habitat for disappearing NW wildlife, primarily birds.",5181,7075,,Magnolia/QA
248,B9041,Large Projects Fund,1990,John Hay Community School,Seattle Public Schools,Increased community use of John Hay Elementary School through an evening community school program.  Added additional sound baffling to auditorium walls to improve facility for broader range of uses.,16750,17050,,Magnolia/QA
245,B9037,Large Projects Fund,1990,Viewlands Elementary Playground Improvement,Greenwood Community Council,"Replaced deteriorated undersized ""Big Toy""; replaced four backboards; raised fence; repainted basketball play area and track lines.",15530,15743,,Northwest
243,B9035,Large Projects Fund,1990,Wedgwood Elementary Play Structure,Wedgwood Community Council,Replaced existing unsafe playscape with new structure and created a community open play area with  landscaping.,12635,16320,,Northeast
242,B9034,Large Projects Fund,1990,Roosevelt Commercial Zoning Study,Roosevelt Neighborhood Association,A Roosevelt neighborhood study of current commercial zoning and recommendations for new zoning overlays and guidelines to guide future development.,9000,26485,,Northeast
253,B9046,Large Projects Fund,1990,Low Income Parent Involvement Incentives,Friends of Hawthorne,Provided financial incentives to low income parents/guardians of selected Hawthorne students for volunteering two days a week at school.,9060,9060,,Southeast
1372,S90059,Small and Simple Projects Fund,1991,20th Anniv. Celebration Fremont Fair,Fremont Arts Council,"To celebrate 20 years of neighborhood creativity, the Fremont Arts Council is planning a series of special events to be held in con- junction with the Fremont Street Fair.   ",1537,2560,,Lake Union
1364,S90051,Small and Simple Projects Fund,1991,Dntwn Fremont Historic DistrictSurvey/Plan,Fremont Neighborhood Council,"Survey and planning study of 20 buildings in downtown Fremont, includ- ing historical/property research, photo documentation, interviews. Final report will include a project map, survey forms for bldgs., gen. history of Fremont, evaluation of historical significance.  ",3500,3750,,Lake Union
1365,S90052,Small and Simple Projects Fund,1991,SE Youth Summer Calendar,South East Effective Development,"To prepare a summer calendar of activities for children being held in the SE Dist at community centers, recreation center, libraries, etc. It will be distributed through the schools and libraries and in the S Beacon Journal.  ",1130,1170,,Southeast
1366,S90053,Small and Simple Projects Fund,1991,Bridge Park,Department of Parks and Recreation,"The Water Dept will install 3/4"" water service on two sites within Bridge Park for NMFunds $1470.  Engineering Dept. will pay the Bridge Park water service bill to the Water Dept. for 5 years.  Water Dept. billed DON separately, they will not use the work authorization form, therefore, there is no invoicing.",1470,2622,,Lake Union
1387,S90074,Small and Simple Projects Fund,1991,South Shore Mural Project #2,South East Effective Development,Students and a local artist will design and paint a mural that will be installed at the school to beautify the building's front entrance.,3000,3575,,Southeast
1367,S90054,Small and Simple Projects Fund,1991,Phinney Ridge Play Area Improvement,Department of Parks and Recreation,To enhance the playground facilities at the Phinney Ridge neighborhood park through installation of new equipment and the refurbishing of existing swing set.  Parks Dept. will install the new equipment and the Community Council will refurbish the swing set equipment.  WO for $2600 to Parks: NMFunds $1600 plus $1000 Cash Match. ,1600,1631,,Northwest
302,B9280,Large Projects Fund,1991,Community Mobilization,Urban League of Metro Seattle,"To mobilize African American parents to monitor, oversee and participate in advocacy for their children at local school sites and with school district administration.",29250,29309,,Central
901,EBF9609,School Beautification,1996,Theme Gardens,B.F. Day Elementary PTSA,"Creation of three theme gardens including pizza, butterfly, and peaceful gardens.",982,2448,,Lake Union
1369,S90056,Small and Simple Projects Fund,1991,Traffic Circle 35th & Burke,Seattle Department of Transportation,Seattle Engineering Dept. will design and construct a traffic circle at the intersection of 35th & Burke Ave N.,2500,3295,,Lake Union
1371,S90058,Small and Simple Projects Fund,1991,Adefua African Dance Program,CAN-DO Project,"A seven week African Dance and Drum Program that teaches 20-60 youth African dance, music, and culture.  Includes two sessions/wk, on-site instruction and field trips.  End product will be a performance for parents and community.  ",1900,2030,,Greater Duwamish
